review_text,review_posted_date,review_header,review_rating,review_author
"I purchased iphone X on 26th Oct'18 and started using from 28th Oct'18. When i received the product, it was already opened which i informed Amazon representative but i was told that it is original product and it will not have issue. Within two days, it started giving me issue with network & WiFi connectivity. I again contacted Amazon through app but i was directed to Apple support. After talking to Apple representative, i only got indefinite answer like it could be software issue and i should wait till it updates but Amazon return/replace policy valid for only 10 days. After purchasing a phone worth up to 90k, i had to do all this and still no support from Amazon.",31 Oct 2018,Amazon Return support is too poor,1.0 ,Amazon Customer
"This is my 3rd iPhone after iPhone 4S and iPhone 6S Plus. Being an utter working middle class guy, I don't switch my iPhones very often (my android phones barely lasted me 9 months though). I do consider them extremely expensive, and I wouldn't go for one, unless I felt it was worth the money I was paying for it. Pros: - I got this phone for INR 69,999/- from Amazon. With exchange offer, it cost me a little over 60K. For the price (and that price only), this makes it worth the buy. - It may not be the latest and greatest, but compared to iPhone XR, this is a much better package overall. Considering the XR is now priced higher than X. XS is only marginally better, and didn't feel it was worth the extra 30K. - Even after a year of being on the market, this phone is an absolute beast in terms of performance, especially after iOS 12. - The Camera is a beauty. You can't compare with DSLRs, but it is right up there with OnePlus and Google phones. - Looks exactly like the XS, and doesn't even have the S badging. So no one will be the wiser. Cons: - The delivery was a bit of a hassle. I had opted for One Day Delivery, at my work address. The agent reached at 7:30 in the morning, when I was obviously not at work. He did say he will come later in the afternoon. However, received the phone a day later. - The phone is extremely slippery. Invest in a good case, front screen protector and a rear glass protector - Such expensive phones should come with 128GB of storage as base, instead of 64GB. If you record 4K videos, it will eat up your storage really quickly. - Videos get heavily cropped when watching in full screen mode. If you have the money, go for XS Max. - The battery isn't the best. Takes over two hours to fully charge from 5% to 100% even with the iPad charger. With moderate usage, you can get 8 hours barely. - With the price of the phone, should have at least come with the fast charger in the box.",12 Oct 2018,"An amazing deal at INR 69,999/-",5.0 ,ShowrobDa
"Thanks to Appario Retail Private Ltd, I got this 256 GB beast during amazon great Indian sale for under 80k. Additionally received cash back of Rs.1000. On delivery, I checked at imei24 and apple site (checkcoverage) for authenticity and warranty of the product. I was satisfied as the product was 100% genuine. iPhone is buttery smooth and the full screen is an awesome experience. Personally, I love the notch as it gives character to the phone. No matter how much you hate the design it seems this is quite an ""IN"" thing now for almost all phone manufacturers have started copying Apple. So all you detractors out there of Apple and the notch - take a chill pill :)!! Pros: 1) A11 Bionic Processor is blazing fast and coupled with 3GB ram you will never have any issues with any of the heavy duty tasks you throw at it 2) Screen resolution (Super retina HD) and the contrast ratio makes the viewing experience breathtaking 3) Got the A1865 model ( iPhone X A1865 uses the Qualcomm MDM9655 Snapdragon X16 LTE modem while the iPhone X A1901 has the Intel XMM 7480 modem) which is better than the A1901 model as A1865 covers more cellular bands (GSM and CDMA networks and frequencies) and the performance of Qualcomm’s chips has always been better than Intel’s. LTE speeds and cellular receptions in case of weak signals also are a shade better than A1901. Cons: 1) All glass body makes this susceptible to breakage. So recommend having a case around it (preferably a transparent one so that the beauty of the original phone can still be enjoyed!) 2) I have to say that battery life is average - a shade better than iPhone 8. 3) Additional touch id support would have been better as an alternative unlocking option Will come up with a detailed review soon in a couple of weeks.",11 Oct 2018,Amazing beast(iPhone X 256 GB) for discount!!,5.0 ,Ktron
Best picture Nd photo clarity Battery and the phone are great,26 Jan 2019,Loving it,5.0 ,Abhilash
I ordered new iPhone X grey on Amazon sale. Phone looks absolutely fine but battery is very weak though it has fast charging option my phone requires 4-5 hours to get charged completely n also my phone is very slow.. feels like I have got a refurbished phone. Guys plz never go for online when u r purchasing costly phones. I have done a mistake u think before doing.,02 Nov 2018,Battery charging is very bad in my new iPhone X,1.0 ,Amazon Customer
"Original product, I love this phone. Using last 2 months",28 Feb 2019,Love it,5.0 ,Durgesh kumar
"Apple iPhone X (Space Grey, 3GB RAM, 64GB Storage) Poor quality product Didn’t turn on at all after unboxing SHAME and waste of money",24 Oct 2018,Shame don't buy,1.0 ,Amritpal Singh
"Have been using iPhone since 5 years now. This one is really a next level up. Was confused between iPhone XR and iPhone X, but after research i find less of cons than pros over iPhone XR. Go for it without any second thought!",20 Apr 2019,Revolutionary iPhone!,5.0 ,Mohit Bhardwaj
"Got a defective phone .... phone receiver not working very often problem started on the next day of delivery .... have to restart the phone evry time....Have contacted apple support they suggested me some setting and resets.... but that helped only for 1day....evn after software update also same issue, receiver not working(cannot hear the other person on call) I have gone through websites and i found thousands of people will defective speakers n receivers on their iphone x AMAZON IS GIVING ME A REPLACEMENT FOR THE PHONE THANK YOU AMAZON",27 Oct 2018,Bad product (BUT GOOD SERVICE FROM AMAZON)😊,1.0 ,Prabhandh Reddy
"Best phone ever , camera is best , i love iPhone , better than any phone in the world",24 Feb 2019,Amazing customer,5.0 ,Sumit
awesome product i am using right now and iphone no hanging or lagging issues,11 Jul 2019,maza iphone,5.0 ,Gaurav Nayak
"When you say its ""Apple I Phone"" it is the most coveted phones available in the market. Every time Apple release's a new phone there is a lot of buzz around the phone, but honestly speaking it stands up to all the hype and expectation created around it. Was earlier using I phone 6 now decided to upgrade my self to I Phone X, the delivery of ordered product was much faster then expected. Thanks Amazon - The minute you hold the phone in your hand it feels so Premium, the build quality is Excellent but also don't forget to order Tempered screen guard + Back cover for the phone, since you have spent a bomb on the phone and front and back is made up of Glass. - The entire Packaging of the phone is brilliantly designed and is very very impressive, the way earpods are packedand placed, Charging adapter & cable is packaged etc etc... even the most minutest details have been taken care of. - Apple thankfully has taken care of the the battery which is indeed much better then its predecessors, a single charge of 100% in my case stayed easily for around 10-12 hrs, which in Iphone 6 used to be 6-8hrs [I don't have to carry my charger any more :) ] - The HD Clarity of the screen is to die for so Crisp and super vibrant, the speaker quality is loud and sharp even with full volume there is no Jarring sound. Very happy with the Phone and super fast delivery :)",17 Apr 2019,One of the best Phones I have had till date,5.0 ,Harsha Kamath
iPhone X is like no other phone out there. Is a manifesto go-to phone for premiumness. Class apart in a nutshell. The security of iPhone is amazing as always. The camera is top notch and portrait mode is the best any camera offers. There are so many inbuilt AR apps which take the game to the outer space. The battery life is quite good as well. With heavy use it’s been able to last more than 12-14 hours. No heating issues. Supports siri and amazon alexa as well out of the box. Though it is a very slippery phone so first don’t forget to get a heavy phone cover. Only if you use you will realise why this phone is expensive and as always nothing comes closer to apples interface.,30 Dec 2018,Worth Every Cent!! love it Apple😍😍,5.0 ,Shivi Bhatia
"My first ever iphone and this much expensive purchase from Amazon and i was literally doubtful if i should purchase this online. Now its been almost 1 month that i am using this (thanks amazon for the wonderful delivery and the seller Appario retail pvt ltd for building the trust) and trust me its worth every penny. I got an authentic product with earphones, charger and a connector, you can check it as well on imei24 and official apple website. It feels so premium in hands and very handy as compared to other latest phones. Yes i agree its very expensive but its worth it. I was a android user till now and i wanted a change so i decided for iphone X and i think i will be an apple user for life now lol. It will take you some time to explore the features as it is much different from Android but it's fun. Face recognition works like a charm and overall it is really fast so 3GB works same like the 8 GB RAM on the other phones.. Camera take the real and natural pictures with beautiful colors without fake filters and all. It is much more secure than the android phones. Battery backup might not be the best but its not that bad as well. Overall i would say its a great product and if you are bored from using andorid and need a change and also if you love luxury, Go for this. First month went really good, let's see how will be experience in coming months, i might change my review accordingly then lol.",27 Nov 2018,Worth the purchase,5.0 ,Milind Ahuja
"Found the perfect deal during the Great Indian Festival. I thought the deal was too good to be true and was expecting a cancellation of order from the seller. But the day I received the order was epic. The phone is simply superb. Everything about the phone is perfect....hey what do expect from an Apple product. Good battery life, durable with screen protector and case and screen quality is excellent. Thank you Amazon",12 Nov 2018,Thank you Amazon for the amazing deal,5.0 ,Jay Sangani
This phone is lit. I gifted it to my sister cause i am not huge on iOS but this one certainly impressed me. After just 20 minutes of exposure i learnt all the gestures and found myself doing them on my V20. Its expensive yes but it feels like it was meant for those price tag. Well done Apple. PS I didn't like the front camera. Everything else is impressive.,09 Nov 2018,Well it's Apple,5.0 ,Gaurav Gautam
"Got a defected piece , camera and face id was not working, phone is sent to bangalore service centre now , will receive it after 4-5 days. Not a happy experience till now.",18 Jan 2019,IPhone X - Defected piece received,2.0 ,Amazon Customer
"I had an iphone 6s, i wanted to upgrade it so i thought to give it a try and i think it was a good idea. Screen is large and the notch. I love it.",04 Nov 2018,Good experience.,5.0 ,Amit Pratap Singh
Actually I was too scared to buy such an expensive phone from online portal though i had trust over amazon but still after reading negative comments It scared me. At the end Because of price difference I bought this through Amazon and overall experience was great Firstly the extra secure steps bu amazon was impressive and also the delivery person just told me you can open the box and he will stay there and make a video After opening the box I checked the serial number if I phone was pre activated however it was brand new with no pre activation Though I had some issues while i Updated to new software for which I had to go to apple care but the query was resolved in 15 min Overall I am quite happy with phone performance and bought at damn cheap price than store,03 Nov 2018,Great phone,5.0 ,Nikunj
"The phone screen and back panel is highly fragile for such an expensive phone. My phone back panel got broken within a month with a very low drop. The fun part is, the authorized service center says the back panel cannot be replaced and only option is to get a new phone.",04 Dec 2018,FRAGILE!!!,1.0 ,amit_25980
God of notches,11 Sep 2018,GEM,5.0 ,Andrew
The device (iPhone X) is best in camera and battery performance. But I am posting this review for Amazon’s quick delivery. I ordered this product in night around 11:00 pm and got the phone very next day in the morning. Isn’t it amazing. I cannot trust any other e-commerce website if I am buying such an expensive device as I already heard a lot also have seen a real incident in my office where a box is delivered having a marble inside of a Samsung phone box. Thank you amazon,18 May 2019,Quick delivery 🚚,5.0 ,Sunny Islam
"Was quite confused whether to go with iPhone X or the Xs. Finally went ahead with the X and I can say I made the right decision, coming from an iPhone 7 it felt a huge upgrade for me. Face ID works great for me not even once I used my passcode till date. Cameras, well for the videos they’re the best no competition whatsoever, for photos they’re one of the best if not the best available in the market. And I’m blown away with the sound quality of these tiny speakers! They’re crisp,sharp and LOUD",15 Jan 2019,A premium glass sandwich!!,5.0 ,Ayush Sharma
"Great device as always from Apple. This iPhone X is awesome in every specification. I’m upgrading from iPhone 6s and loving it. * Great Display * Ergonomic Design * Excellent Camera from Apple * Great battery life ( charge time is a factor ) * No lagging issues * similar to iPhone XS only difference is A12 chip in xs and A11 in X * Great buy from prime sale with display insurance from Amazon perk If you are an Apple lover like me and you want to upgrade from older versions of iPhone at the same time similar look as 2019 XS then this is your best choice. Price is still on higher side but no regrets hopefully Apple makes their devices in India soon and consumers can escape from their higher price tags. Finally, Authentic Apple iPhone X with great specs. Thank you Amazon.",20 Jul 2019,iPhone X ( A11) = iPhone XS ( A12),5.0 ,SR.S
"Amazing phone. This is the first time am Porchester an expensive item on amazon. After going through some negative reviews, I was skeptical about buying this phone on ecommerce platform. After about a week of pondering, I decided to take the plunge as amazon is the only platform I trust to a good extent. Got the product delivered within a day, and I got the original product with all the accessories intact (Seller - Meera enterprises). Thank you amazon. The first impression seems very good. Face ID works flawlessly, and am loving every bit of the expedience with this beauty of a phone. Detailed review, later.",04 Feb 2019,Easily the best iPhone ever,5.0 ,Vignesh Krish
After shelling out so much amount on a mobile except for camera I don’t think this ones any better to galaxy s10 or other competitors like pixel... where a lot more is offered for a lesser price. I migrated to iOS just to give a try and I’m not happy me coming from Android. If there’s a exchange I would blindly go with current competitor I.e s10 or so...,30 Apr 2019,"Battery is main concern, not at all good!!",3.0 ,PAVAN HEMANTH NAMBURI
"Design is 10/10 (Yes the infamous notch, doesn’t bother me at all.) Face ID is 9.5/10 (Works 99% of the time. I have encountered issues only when I’m wearing a helmet covering my face. Other than that, whether it is day or night, whether I am wearing a sunglass or I am yawning, it just works so well!) iOS is obviously 10/10 Battery is 9/10 (Never had any issue with it’s battery performance although I’m not a heavy user. Easily gives me 7-7.5 hours of screen time on medium usage. Reason for giving 9 instead of 10 is, my phone’s battery capacity dropped to a whopping 3% in just a month after buying it. Although it is still at 97% and it has been almost 3 months since I bought it.) Wireless charging works good. The phone doesn’t heat other than occasionally warming up, which is pretty usual I guess. Cameras with telephoto lens at both front and back take gorgeous. Pair it with a nice matte screen gaurd & noise fabric case and you’ve got the perfect package!",11 Apr 2019,"It’s 2019, still this phone is unbeatable!",5.0 ,Tushar
One of the crafted and precisely design iphone ever in apple market. Love the build wuakity fully glss design with white color gives you rich and best feeling. Dual camera is one of the key points. Battery life is almost 1 days if you are using full day. With combination of 5.8 inch disply everything looks stunning and gorgeous. I got 256 gb white version in 82k with amazon festival sale. Seller is trustworthy and reliable. Always send genuine products.,16 Nov 2018,Best iphone ever,5.0 ,prakash
"I can’t believe iPhone X performance. I used Samsung s6 edge ,s7 & s8 but iPhone is iPhone. Very smooth performance. Nice battery backup. Picture quality very fine. Display heavy. Don’t listen anyone just go & buy.",21 Jan 2019,Very good,5.0 ,Joydip Chanda
"This phone is absolute beauty. I am using this for past one month. This is my first iPhone and mind you i have become its Fan. I'll give a detail review under following heads :- 1. Overall Look : This phone looks extremely classy and with gorgeous glass back, from front as well looks very stylish and it speaks volume about itself. 2. Screen : The screen is wonderful, the touch is very responsive. Picture quality on screen is also amazing. 3. Speed : One of the fastest phone available in the market. Although with launch of Xs still this phone is very fast and is much faster than many other phones available in mkt. 3. Camera : Very Fine dual back Camera it gives good quality of pictures, Front camera is again very impressive Crystal clear puctures. Im not comparing it with DSLR but given this is a phone, its ip there. Potrait mode can be improved. But not a bad output. 4. Battery life is ok ok won't say a very great given the price of the phone, but if u caompare with Xs there isn't any much difference. 5. Overall : Purchased this product during sale, was able to grab on the deal. This phone is really great, totally worth buying. If u have money thn u can jus without thinking twice can book this product.",30 Nov 2018,Jus go for it.,5.0 ,Pushpendra
Its a beautiful phone i have ever come across the series of iphones . Best low light pictures and potrait mode pictures . One problem i can say is that it gets a bit warm while usage of the phone for more than half an hour. Other than that its a great phone,01 May 2019,Great phone. Great packaging.,5.0 ,Amazon Customer
"The biggest pro for me is its battery. Thats something I was always concious on Android S8, S7 Edge,All Oneplus devices till op6. On same usage IPhoneX comfortably saves me more than 20%. Thats a clincher for me. And I got this 256gb at effective price of 70k Approx. Thanks to Amazon.",23 Oct 2018,Iphone X 264gb at 71500... Steal Deal for an Iphone.,5.0 ,SATYANARAYAN MISHRA
"Looks really nice and premium. Price is very high and one should wait for offer season to get it around effective price of 65k or bellow. For look and feel, i do not think any other mobile can come closer in current period.",28 Oct 2018,Looks nice and premium.,5.0 ,HateAmazon
I was confused between Iphone X and Iphone XR but finally made decision to buy iphone X due to its best in class design and components. I have used Iphone 5s in past still it works like a charm. I bought this device during amazon sale at 62K and it is really value for money deal. Its been 2 month didn't face any type of issues & moreover having - 120 Hz touch-sensing capability the screen is really buttery smooth. Go for Iphone X blindly as Iphone XS & XR are just copy of X with few advancements that doesn't make much difference.,02 Dec 2018,Iphone X - Better phone to buy in 2018 & 2019,5.0 ,Gaurav bisht
"though the product is excellent since its an apple . but the brand of amazon seems to have gone to dogs. purchase date being 15 oct, the said 10% cashback has still not been transferred to me even after 5 months of the purchase. the said great india sale is a big hoax and nothing else . even after repeated emails and calls , registration of ecomplaint and even sharing of the back statements from my end , nothing has been resolved. i figure how is the brand living with itself with zero ethics",11 Mar 2019,cashback still not credited,1.0 ,aashirwad
I bought iPhone X from amazon almost 1month ago and im happy you this beauty. Moved from OnePlus 5T a flagship killer to the worlds top brand who everyone wants to afford Apple. I’m pleased to inform this was worth selecting. Design is best in class. Battery life is good as per my usage it works for a good 1day and I still have 40% remaining battery life. I wish apple gives wireless charger in the box. As this supports but we need to pay some 3000rs for an additional wireless charger. Wat ever it is. The is a killer.,11 Feb 2019,Worth a penny.,5.0 ,saleem
"My Phone stopped working suddenly and when submitted they says it has water damage so its not covered under warranty or insurance plan. when submitted to Apple store they say contact amazon for insurance, Even after buying such costly phone with insurance we only have option to buy new one if its hardware damage and they simply give report which says water detected even after claiming its water proof.",21 Dec 2018,"No Point buying from AMAZON, No Warranty is given at APPLE stores",1.0 ,Swati Chandarana
"Amazing phone waited for a year and finally got this is Amazon Great Indian festival at unbelievable price. Quality as always on top of all phones in market, cannot compare with any other phones. Amazon delivery is awesome got in one day. Many Many thanks to Amazon.",12 Oct 2018,iPhone like never before,5.0 ,Avinash Baghel
"On 1st Jan 2019 i bought this phone for me. It was working as expected but after 5 days, screen touch was stopped working. This rating is not for the iphone, anyways X is awesome but I am giving 1 rating for this faulty product that was delivered to me. I request supplier to not to deliver such faulty products, people are spending good amount for this.",10 Jan 2019,Got faulty product.. :(,1.0 ,Deven Borge
"Received the box intact. After unboxing the phone, i found the volume button sticky ( non functional) and voice quality of the speaker was not upto mark. I approached b2x for the problem same day i received the phone. B2x replaced the phone in 7 days. Thanks to b2x for the same. But i wasnt expecting this kind of product from amazon.",14 Jan 2019,Iphone x,1.0 ,Rajeev Seth
Excellent quality product from apple .thanks to amazon for speed delivery,12 Oct 2018,Speed delivery,5.0 ,Anil kumar
Its a good device with edge to edge display complimented by OLED screen but when you flip it side ways its quite heavy and thick if you compare with iphone 7 8 .,17 Nov 2018,"Its quite thick if you compare with Iphone 7 or 8 , I bought it for its IOS",4.0 ,Nirupam Barman
Writing review after 4 month isage.Best phone today also.. dont buy costly xs cause this will easily give you everything you keed. Plus white looks sexy... battery easily lasts 12 hours on moderate usage. First iphone with such good battery i had 4 early models. Camera superb no challenge in daylight. Buy prom good retailer original product and dont worry its worth money spent once u get used to it,20 Apr 2019,Worth the hype,5.0 ,chetan Kolekar
Returning to an apple phone after 3 years and I realised how many compromises I was making.,29 Nov 2018,Good phone and got it in a good deal on Amazon,4.0 ,thiyagu
Bought it during the Amazon sale at amazing discount. In love with this phone Video quality is awesome. User friendly Battery stays for up to 2 days. There’s nothing negative about this phone,14 Dec 2018,Awesome product,5.0 ,Utkarsha
"Using it for around 2 months now and feel like one of the best iPhone apple ever made. I was an android user so comparing it with android I feel it lacks costumisablity by everything else is better than or as good as android. The size, shape and design is excellent and I am loving the form factor. I was a pixel user so as far as built quality goes it is the most premium phone I have ever held. If I compare the camera I feel that the pixel was better at still photos but no one can beat it in video recording. I will give 4 stars for battery life also and man the fluidity of ios, I am loving it.",24 May 2019,One of the best phone in premium price range,5.0 ,Apoorv Singh
"I bought this product and within 3 months, the phone developed problems in its receiver. I cannot talk to or listen to the person at the other end unless I have the speaker or earphones on. The problem has been persisting and the swindling Apple guys are replacing the front part again and again, and not replacing my phone. My phone has been in the service centre for more than 3 months now. I have supporting documents too to support my argument. I am going to the consumer court. My recommendation: Avoid Apple products, rather go for Samsung or Huawei or One Plus, as they provide better service than this $1 trillion company who just bilks money out of everyone. RIP APPLE. I seriously wish you a fate like Kodak.",15 Jul 2019,"The trust, the premium quality, the brand value: ALL FAKE",1.0 ,Siddhant Giri
Brought in Amazon Sale Offer at 75K with One Time Free Screen Replacement I was thinking for New XR but X is Always Good Option in terms of Display Resolutions. Go for it if you are Planning for XR or XS,11 Nov 2018,X is Always better than Xr,5.0 ,Nikhil Ugale
It’s much better when you use it compared to just looking at it. It’s make more sense to buy X when you can compared to buying an XS,24 Oct 2018,Just go for it.,5.0 ,ozeross
Goo product but amazon service was worst this time,18 Nov 2018,Worst amazon service,4.0 ,PRASAD
When I unboxed it I saw photo gallery n there were some pics already taken one year ago..means phone was already unboxed one year ago,12 Nov 2018,Unboxed product,3.0 ,Bhupesh
"Phone looks good but it’s hanging sometimes and speaker is not working fine, looks like I got some refurbished mobile. Completely disappointed by Amazon for this time",09 Apr 2019,"Disappointed, looks like got a refurbished mobile",1.0 ,Praveen Chowdary
Received original product. Price is very cheaper than stores.Product is good as of now,20 Oct 2018,Original!,4.0 ,Peer
A must have iPhone...the screen size the battery life and the killer looks...it has everything that you ask for in a phone...the camera quality is just amazing...,13 Dec 2018,Killer....,5.0 ,Amazon Customer
I don’t understand why i’m not given with product. Neither the hard copy of the bill came with ph nor I received soft copy in email. It sounds fishy,15 Oct 2018,Copy of the bill not provided,5.0 ,Amazon Customer
Obviously its the bedt Apple device so far. Bought it in sale so the price tag wasn’t that hefty. Should upgrade if you have a 6 or 6s; better skip iPhone 8. If you have iPhone 7; rather wait for X1; you never know what’s in store for us there.,23 Nov 2018,It is what it is - Superb,5.0 ,Krishan Upadhyay
Battery life is the only disadvantage I have feel in this phone. Still I’m getting a 1 day battery after 4 to 5 hours of internet usage and gaming. But nowadays phones with low cost is having a better battery. Apart from that this phone is mind blowing!!,14 Nov 2018,Awesome mind blowing phone with an average battery capacity,5.0 ,Lijith P
M just in love with this phone. It’s lighting fast. Face detection is quick even in dark. Battery is awesome. Fast delivery by amazon but packaging was not enough. Phone box was just in a single amazon polybag. Overall good work by amazon,25 Apr 2019,Great 😃,5.0 ,Amazon Customer
Mobile phone js good as per ios operating system but the price of this product is too costly.. i buy this product for my father to gave him as a present and he loved it alot.. camera quality is awesome and battery backup is average. Face unlock is also best feature of this heandset.,22 May 2019,Good to buy at 70k,5.0 ,Pankaj chopra
"A pathetic Quality of product and once I sent this to Apple service center they replied with a statement that “THE PRODUCT IS NOT AN ORIGNAL PIECE AND THIS IS A TAMPERED PRODUCT THIS IS NOT COVERED IN WARRANTY “, And I have reported this to AMAZON CARE at least 10 times from past one month but they are just passing the parcel by Saying “ IT WILL TAKE 10 MORE DAYS”. Please do something if you can do because an APPLE product can’t just stop working with in a Year",23 Jun 2019,FAULTY ITEMS DELIVERED ; NO CUSTOMER SUPPORT,1.0 ,Rishiraj
"I got the phone during the Great Indian Festival Sale and made use of the price drop as well cash backs. Kudos to Amazon for that. Coming to the phone, I can truly justify the purchase at the price point I got it for and have no major issues whatsoever. I have been using iPhone 7 since two years and the screen is a big upgrade as compared to it, the size isn't that big and adds more than inch to Screen real estate. In real life usage, I didn't find the phone to lag anytime and feels fast, smooth and very responsive. The display is great as expected from an AMOLED and I noticed an increase in the battery life as well. iPhones typically, should be treated as an investment and not a product to show off. I am a power user and this serves all my needs very well. I am pretty sure that Apple will continue to support this product for quite a few years down the line as well therefore, went for the iPhone X instead of the iPhone XS.",09 Nov 2018,Still a powerhouse of a phone,4.0 ,Pranav Chawla
"Reviewing this after 1 month usage . I can say that just go for it if you can afford it .It is a premium phone will give you every feature you wants in a phone Best Camera,Best OS,Best Battery,Best Look and everything is best in this X. Overall Apple is Apple Adding third gadget of Apple in my List.. And thanks Amazon for faster delivery and best service",23 Mar 2019,Its a real beast from Apple,5.0 ,Ajitesh Mishra
"Hi Amazon India, Reminder - 2 I purchased Iphone X having details as below , 1. Fact: This Phone bought by me on 16th July 2018, and having warranty till 15th July 2019. Warranty and Invoice attached. 2. Issue : This phone got damaged and while visiting official Iphone store found that this phone waspurchased originally on 3rd Feb 2018 hence warranty expired. Hence now stuck between Amazon & Apple. 3. This case registered with Apple and case ID is 100849584322, Screen Shot attached Serial No : FRNVXR95JCLF 4. Since there is a clear case fraud with me, I want Amazon India to pay me in full amount equal to original invoice what i paid or provide me the New Phone ( this time original & genuine one) 5. Attachments A. Screen shot from Apple India that Phone purchase date is not the 16th July 2018 B. Original Invoice and warranty issued from Amazon India- which is not right and fraud conducted C. Detail of phone in subject and as discussed above D. Official confirmation from Apple store that Product is out of warranty on date 11.07.2019 rgds Anant Kabra 9468535474",11 Jul 2019,Fake product sold by Amazon,1.0 ,Anant Kabra
